Company,Rating,Type,Good Review,Bad Review
Kansai Nerolac Paints,3.8,Chemicals | Mumbai +265 other locations,,
Blue Dart Express Ltd,3.9,Logistics | Mumbai +280 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
ZS,3.0,Management Consulting | Pune +17 other locations,,
Nestlé,3.7,FMCG | Gurugram +284 other locations,Salary,"Promotions, Work Life Balance, Work Satisfaction"
Exide Industries,3.4,Electrical Equipment | Kolkata +199 other locations,,
UnitedHealth,4.0,Healthcare | Hyderabad +18 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Star Health & Allied Insurance,3.5,Insurance | Chennai +338 other locations,,
Foxconn,3.8,Electronics Manufacturing | Chennai +64 other locations,Job Security,Promotions
Shell,3.9,Oil & Gas | Bengaluru +91 other locations,"Work Life Balance, Company Culture, Salary","Promotions, Job Security"
KPMG Global Services,3.4,Management Consulting | Bengaluru +38 other locations,,
TVS Supply Chain Solutions,3.8,Logistics | Chennai +156 other locations,Job Security,"Promotions, Salary"
Micro Labs,3.6,Pharma | Bengaluru +156 other locations,Job Security,"Promotions, Salary, Company Culture"
Flex,3.9,Electronics Manufacturing | Chennai +46 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
ElasticRun,3.6,Logistics | Pune +391 other locations,,
KFintech,3.3,Financial Services | Hyderabad +114 other locations,,
Care Health Insurance,3.5,Insurance | Gurugram +258 other locations,,
Capita,3.5,BPO | Pune +32 other locations,,
Ajanta Pharma,3.9,Pharma | Mumbai +118 other locations,Job Security,Promotions
Gallagher,3.6,Insurance | Bengaluru +30 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
G4S,4.0,Law Enforcement & Security | Gurugram +168 other locations,"Work Life Balance, Job Security, Salary",Promotions
Blue Star,4.0,Consumer Electronics & Appliances | Mumbai +150 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions
Sonalika Tractors,3.5,Automobile | Hoshiarpur +197 other locations,,
Whitehat jr,3.3,EdTech | Mumbai +48 other locations,,
Movate,3.1,IT Services & Consulting | Chennai +38 other locations,,
Tata Advanced Systems,3.7,Defence & Aerospace | Bengaluru +58 other locations,Job Security,"Promotions, Salary"
Photon Interactive,4.1,IT Services & Consulting | Chennai +19 other locations,,
Voltas,4.0,Consumer Electronics & Appliances | Mumbai +203 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Adani Power,3.7,Power | Mundra +131 other locations,,
DBS Bank,3.7,Banking | Hyderabad +181 other locations,Salary,"Promotions, Work Satisfaction"
NoBroker,3.0,Internet | Bengaluru +47 other locations,,
BlackBuck,3.7,Internet | Bengaluru +363 other locations,,
ACT Fibernet,3.8,Telecom | Hyderabad +58 other locations,"Company Culture, Job Security",Promotions
Foundever,3.3,BPO | Hyderabad +21 other locations,,
IntouchCX,2.7,BPO | Hyderabad +22 other locations,,
Himalaya Wellness,3.9,Pharma | Bengaluru +245 other locations,Work Life Balance,Promotions
Domino's Pizza,3.9,Hospitality | New Delhi +255 other locations,,
Laurus Labs,4.3,Pharma | Visakhapatnam +35 other locations,,
Fortis Healthcare,4.0,Healthcare | New Delhi +69 other locations,,
BT Group,3.8,Telecom | Gurugram +26 other locations,"Work Life Balance, Company Culture","Promotions, Skill Development, Salary"
V-Mart,4.0,Retail | Gurugram +287 other locations,,
Sahrudaya Healthcare (Medicover Hospitals),4.3,Healthcare | Hyderabad +46 other locations,,
JCB,3.9,Industrial Machinery | Pune +111 other locations,Work Life Balance,Promotions
Alldigi Tech,3.8,BPO | Chennai +37 other locations,Job Security,Promotions
Northern Trust Operating Services,3.6,Financial Services | Bengaluru +28 other locations,,
Sterlite Technologies,3.8,Hardware & Networking | Chhatrapati Sambhajinagar +101 other locations,,
Adani Group,3.8,Power | Ahmedabad +201 other locations,Salary,Promotions
Tractors and Farm Equipment,3.9,Industrial Machinery | Chennai +192 other locations,"Work Life Balance, Skill Development",Promotions
Bajaj Electricals,3.9,Consumer Electronics & Appliances | Mumbai +235 other locations,"Work Life Balance, Salary",Promotions
CorroHealth Infotech,3.6,Analytics & KPO | Hyderabad +38 other locations,Salary,"Work Life Balance, Job Security, Promotions"
GAO Tek,4.4,Electrical Equipment | New York +45 other locations,"Work Life Balance, Skill Development, Company Culture",Salary
Sammaan Capital Limited,3.7,NBFC | Gurugram +199 other locations,Work Life Balance,Promotions
Parle Agro,3.9,Beverage | Mumbai +259 other locations,"Work Life Balance, Job Security",Promotions
ICICI Securities,3.9,Financial Services | Mumbai +154 other locations,"Job Security, Work Life Balance",Promotions
Emcure Pharmaceuticals,3.6,Pharma | Pune +121 other locations,,
Biocon Limited,4.0,Biotechnology | Bengaluru +66 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Planet Spark,3.8,EdTech | Gurugram +59 other locations,,
TaskUs,3.0,BPO | Indore +38 other locations,,
Hero FinCorp,3.9,NBFC | New Delhi +395 other locations,"Company Culture, Work Life Balance",Promotions
Mahindra Holidays & Resorts,3.5,Hospitality | Mumbai +114 other locations,,
Cadila Pharmaceuticals,3.2,Pharma | Ahmedabad +140 other locations,,
Mahindra Rural Housing Finance,4.0,NBFC | Mumbai +476 other locations,"Work Life Balance, Company Culture",Promotions
Datamatics Global Services,3.4,IT Services & Consulting | Mumbai +38 other locations,,
Intellect Design Arena,3.5,Software Product | Chennai +40 other locations,Job Security,"Promotions, Company Culture, Work Life Balance"
McDonald's,3.8,Hospitality | New Delhi +152 other locations,"Skill Development, Job Security",Salary
Paras Hospital,4.1,Healthcare | Patna +60 other locations,,
Syngene International,3.7,Clinical Research | Bengaluru +22 other locations,Work Life Balance,"Promotions, Work Satisfaction, Salary"
Patanjali Ayurved,4.0,FMCG | Haridwar +301 other locations,Work Life Balance,Promotions
Bureau Veritas,3.8,Other | Mumbai +150 other locations,Work Life Balance,"Promotions, Salary"
Aditya Birla Group,4.1,Metals & Mining | Mumbai +275 other locations,,
RMSI,3.5,IT Services & Consulting | Hyderabad +25 other locations,,
Cholamandalam MS General Insurance,3.7,Insurance | Chennai +396 other locations,,
Newgen Software Technologies,4.1,IT Services & Consulting | Noida +32 other locations,,
3i Infotech,3.5,IT Services & Consulting | Mumbai +134 other locations,,
Taj Hotels Resorts and Palaces,4.2,Hospitality | Mumbai +114 other locations,,
Info Edge,3.8,Internet | Noida +70 other locations,Job Security,"Promotions, Skill Development, Salary"
Statestreet HCL Services,3.4,BPO | Chennai +18 other locations,,
Aavas Financiers,3.9,NBFC | Jaipur +300 other locations,Skill Development,Promotions
Delhi Public School,3.7,Education & Training | New Delhi +277 other locations,,
Capgemini Engineering,3.3,IT Services & Consulting | Bengaluru +28 other locations,,
Axis Direct,3.6,Financial Services | Mumbai +271 other locations,,
Cybage,3.7,IT Services & Consulting | Pune +15 other locations,Work Life Balance,"Promotions, Skill Development, Salary"
Straive,3.3,IT Services & Consulting | Chennai +33 other locations,,
Lodha,4.2,Real Estate | Mumbai +30 other locations,,
Sopra Steria,3.9,IT Services & Consulting | Noida +19 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Kia India,3.9,Automobile | Anantapur +191 other locations,"Job Security, Skill Development",Promotions
Apollo Pharmacy,3.7,Pharma | Hyderabad +291 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
TCE,3.9,Engineering & Construction | Mumbai +133 other locations,"Work Life Balance, Job Security",Promotions
KocharTech,3.6,IT Services & Consulting | Kolkata +25 other locations,,
Xoriant,4.0,IT Services & Consulting | Pune +23 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
GVK Emergency Management and Research Institute,3.6,Non-Profit | Lucknow +217 other locations,,
Akums Drugs & Pharmaceuticals Limited,4.2,Pharma | Haridwar +41 other locations,,
SBI Securities,3.6,Financial Services | Mumbai +324 other locations,,
Team Computers,3.6,IT Services & Consulting | New Delhi +108 other locations,,
Sobha,3.8,Real Estate | Bengaluru +39 other locations,Job Security,"Promotions, Work Life Balance, Salary"
Star Union Dai-ichi Life Insurance,3.8,Insurance | Mumbai +334 other locations,,
Isgec Heavy Engineering,3.8,Engineering & Construction | Noida +225 other locations,Job Security,Promotions
Endurance Technologies Limited,3.9,Auto Components | Chhatrapati Sambhajinagar +52 other locations,"Skill Development, Job Security, Salary",Promotions
Bharat Petroleum,4.2,Oil & Gas | Mumbai +265 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Eureka Forbes,3.6,Consumer Electronics & Appliances | Mumbai +186 other locations,,
BNP Paribas,3.7,Banking | Mumbai +27 other locations,"Job Security, Work Life Balance","Promotions, Salary, Skill Development"
Lifestyle,4.2,Retail | Bengaluru +130 other locations,,
Daikin Airconditioning India Pvt. Ltd.,4.1,Consumer Electronics & Appliances | Neemrana +109 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Panasonic Life Solutions India,3.9,Consumer Electronics & Appliances | Mumbai +170 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Radisson Hotels,4.0,Hospitality | New Delhi +133 other locations,,
Myntra,3.8,Internet | Bengaluru +103 other locations,"Company Culture, Skill Development",Promotions
AWL Agri Business,4.1,FMCG | Ahmedabad +206 other locations,,
Unacademy,2.9,EdTech | Bengaluru +74 other locations,,
Bharti AXA Life Insurance,3.6,Insurance | Mumbai +247 other locations,,
SBI General Insurance,3.5,Insurance | Mumbai +301 other locations,,
Cisco,4.1,Hardware & Networking | Bengaluru +48 other locations,"Company Culture, Work Life Balance, Salary",Promotions
Renault Nissan Technology & Business Centre India,3.6,Automobile | Chennai +21 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Meesho,3.7,Internet | Bengaluru +137 other locations,Salary,"Job Security, Promotions"
ValueLabs,3.4,IT Services & Consulting | Hyderabad +21 other locations,,
Sify Technologies,3.6,IT Services & Consulting | Chennai +137 other locations,,
Coromandel International,4.1,Agro Chemicals | Visakhapatnam +186 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Lava International,3.9,Consumer Electronics & Appliances | Noida +223 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions
Allstate,3.7,Insurance | Pune +17 other locations,Work Life Balance,Promotions
Whirlpool,4.0,Consumer Electronics & Appliances | Pune +174 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Indian Railways,4.2,Railways | Kolkata +251 other locations,,
GlaxoSmithKline Pharmaceuticals,4.1,Pharma | Bengaluru +216 other locations,"Company Culture, Work Life Balance, Salary",Promotions
Henry Harvin Education,3.9,EdTech | Noida +34 other locations,,
Shahi Exports,4.0,Fashion & Textile | Bengaluru +72 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Bank of Baroda,3.6,Banking | Mumbai +305 other locations,Job Security,"Promotions, Work Satisfaction, Company Culture"
Generali Central Life Insurance,3.4,Insurance | Mumbai +208 other locations,,
Mercedes-Benz Research and Development India,3.5,IT Services & Consulting | Bengaluru +53 other locations,"Work Life Balance, Job Security","Promotions, Work Satisfaction, Skill Development"
JK Tyre,3.8,Auto Components | Chennai +148 other locations,,
Spark Minda,3.8,Auto Components | Pune +76 other locations,,
Poonawalla Fincorp,3.6,NBFC | Pune +267 other locations,,
Manipal Hospitals,4.0,Healthcare | Bengaluru +66 other locations,"Job Security, Skill Development, Company Culture",Promotions
Jio Platforms,3.3,IT Services & Consulting | Mumbai +105 other locations,Job Security,"Promotions, Salary, Company Culture"
FirstCry,3.5,Retail | Pune +216 other locations,,
NTT DATA Business Solutions,4.1,IT Services & Consulting | Bengaluru +32 other locations,,
Life Insurance Corporation of India,4.4,Insurance | Mumbai +479 other locations,,
Saint-Gobain,3.8,Building Material | Mumbai +104 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary"
Cargill,3.9,Food Processing | Bengaluru +124 other locations,"Work Life Balance, Company Culture, Salary",Promotions
Brakes India,3.9,Auto Components | Chennai +101 other locations,"Job Security, Skill Development, Company Culture","Promotions, Salary"
Nuvoco Vistas,4.1,Building Material | Kolkata +204 other locations,,
Nokia Networks,4.1,Hardware & Networking | Chennai +86 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
upGrad,3.3,EdTech | Bengaluru +52 other locations,,
CAMS,3.6,Financial Services | Chennai +110 other locations,Job Security,"Promotions, Salary, Company Culture"
BHEL,4.2,Electrical Equipment | Bengaluru +139 other locations,,
Infinite Computer Solutions,3.2,IT Services & Consulting | Bengaluru +36 other locations,,
Microsoft Corporation,3.8,Software Product | Bengaluru +47 other locations,"Work Life Balance, Company Culture","Job Security, Promotions"
Power Mech Projects,3.8,Engineering & Construction | Hyderabad +152 other locations,Job Security,"Promotions, Company Culture"
Kotak Securities,3.4,Financial Services | Mumbai +143 other locations,,
Force Motors,3.7,Automobile | Pune +107 other locations,,
CitiusTech,3.1,IT Services & Consulting | Mumbai +17 other locations,,
Pfizer,3.9,Pharma | Visakhapatnam +133 other locations,"Work Life Balance, Company Culture","Promotions, Job Security"
"Maruti Suzuki India Limited, Hansalpur",4.2,Automobile | Ahmedabad +110 other locations,,
Provana,4.1,BPO | Noida +12 other locations,,
EPAM Systems,3.7,IT Services & Consulting | Hyderabad +36 other locations,"Skill Development, Salary, Work Life Balance","Promotions, Job Security, Work Satisfaction"
IndusInd General Insurance,3.6,Insurance | Mumbai +198 other locations,,
Huawei Technologies,4.1,Telecom | Bengaluru +104 other locations,"Salary, Skill Development, Company Culture",Job Security
Biological E,4.2,Pharma | Hyderabad +75 other locations,,
ITC Hotels,4.1,Hospitality | Bengaluru +95 other locations,"Job Security, Skill Development, Company Culture",Promotions
Simplex Infrastructures,3.4,Engineering & Construction | Kolkata +138 other locations,,
SGS,3.7,Engineering & Construction | Mumbai +148 other locations,,
Reliance Trends,4.1,Retail | Bengaluru +396 other locations,,
Morgan Stanley,3.6,Financial Services | Mumbai +19 other locations,,
Raymond Lifestyle Limited,4.2,Fashion & Textile | Mumbai +150 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
K12 Techno Services,3.7,EdTech | Bengaluru +43 other locations,,
